No,SSA,VMI,VME,T,P,G
609,776,0.1894,0.3765,15,0.39,0.75
610,776,0.1894,0.3765,15,0.32,0.66
611,776,0.1894,0.3765,15,0.28,0.619
612,776,0.1894,0.3765,15,0.25,0.56
613,776,0.1894,0.3765,15,0.21,0.51
614,776,0.1894,0.3765,15,0.18,0.45
615,776,0.1894,0.3765,15,0.14,0.38
616,776,0.1894,0.3765,15,0.1,0.29
617,776,0.1894,0.3765,15,0.06,0.19
618,776,0.1894,0.3765,15,0.035,0.12
619,776,0.1894,0.3765,35,0.98,0.93
620,776,0.1894,0.3765,35,0.95,0.91
621,776,0.1894,0.3765,35,0.88,0.87
622,776,0.1894,0.3765,35,0.81,0.82
623,776,0.1894,0.3765,35,0.7,0.75
624,776,0.1894,0.3765,35,0.64,0.71
625,776,0.1894,0.3765,35,0.56,0.65
626,776,0.1894,0.3765,35,0.49,0.6
627,776,0.1894,0.3765,35,0.39,0.5
628,776,0.1894,0.3765,35,0.32,0.44
629,776,0.1894,0.3765,35,0.28,0.4
630,776,0.1894,0.3765,35,0.246,0.36
631,776,0.1894,0.3765,35,0.21,0.32
632,776,0.1894,0.3765,35,0.18,0.28
633,776,0.1894,0.3765,35,0.14,0.23
634,776,0.1894,0.3765,35,0.1,0.18
635,776,0.1894,0.3765,35,0.06,0.11
636,3350,1.67,0.08,0,20,13.37
637,3350,1.67,0.08,0,19,13.08
638,3350,1.67,0.08,0,18.1,12.78
639,3350,1.67,0.08,0,17,12.42
640,3350,1.67,0.08,0,16,12.06
641,3350,1.67,0.08,0,15.1,11.7
642,3350,1.67,0.08,0,14.2,11.29
643,3350,1.67,0.08,0,13.1,10.83
644,3350,1.67,0.08,0,12,10.4
645,3350,1.67,0.08,0,11.1,9.94
646,3350,1.67,0.08,0,10.1,9.5
647,3350,1.67,0.08,0,9,8.9
648,3350,1.67,0.08,0,8,8.3
649,3350,1.67,0.08,0,7,7.65
650,3350,1.67,0.08,0,6,7
651,3350,1.67,0.08,0,5,6.26
652,3350,1.67,0.08,0,4,5.43
653,3350,1.67,0.08,0,3,4.5
654,3350,1.67,0.08,0,2,3.4
655,3350,1.67,0.08,10,20,12.3
656,3350,1.67,0.08,10,19,11.95
657,3350,1.67,0.08,10,18,11.64
658,3350,1.67,0.08,10,17,11.3
659,3350,1.67,0.08,10,16,10.94
660,3350,1.67,0.08,10,15,10.59
661,3350,1.67,0.08,10,14,10.2
662,3350,1.67,0.08,10,13,9.8
663,3350,1.67,0.08,10,12,9.35
664,3350,1.67,0.08,10,11,8.9
665,3350,1.67,0.08,10,10,8.4
666,3350,1.67,0.08,10,9,7.96
667,3350,1.67,0.08,10,8,7.4
668,3350,1.67,0.08,10,7,6.78
669,3350,1.67,0.08,10,6,6.18
670,3350,1.67,0.08,10,5,5.5
671,3350,1.67,0.08,10,4.1,4.77
672,3350,1.67,0.08,10,3.1,3.97
673,3350,1.67,0.08,20,20,11.16
674,3350,1.67,0.08,20,19,10.85
675,3350,1.67,0.08,20,18,10.51
676,3350,1.67,0.08,20,17,10.18
677,3350,1.67,0.08,20,16,9.8
678,3350,1.67,0.08,20,15,9.48
679,3350,1.67,0.08,20,14,9.1
680,3350,1.67,0.08,20,13,8.76
681,3350,1.67,0.08,20,12,8.32
682,3350,1.67,0.08,20,11,7.96
683,3350,1.67,0.08,20,10,7.47
684,3350,1.67,0.08,20,9,7
685,3350,1.67,0.08,20,8,6.5
686,3350,1.67,0.08,20,7,5.95
687,3350,1.67,0.08,20,6,5.39
688,3350,1.67,0.08,20,5,4.72
689,3350,1.67,0.08,20,4,4.07
690,3350,1.67,0.08,30,20.1,10.28
691,3350,1.67,0.08,30,19,10
692,3350,1.67,0.08,30,18.1,9.69
693,3350,1.67,0.08,30,17.05,9.36
694,3350,1.67,0.08,30,16,9
695,3350,1.67,0.08,30,15,8.68
696,3350,1.67,0.08,30,14,8.35
697,3350,1.67,0.08,30,13,7.96
698,3350,1.67,0.08,30,12,7.63
699,3350,1.67,0.08,30,11,7.22
700,3350,1.67,0.08,30,10,6.78
701,3350,1.67,0.08,30,9,6.32
702,3350,1.67,0.08,30,8,5.85
703,3350,1.67,0.08,30,7,5.39
704,3350,1.67,0.08,30,6,4.82
705,3350,1.67,0.08,30,5,4.25
706,3350,1.67,0.08,30,4,3.63
707,3350,1.67,0.08,40,20,9.48
708,3350,1.67,0.08,40,19,9.17
709,3350,1.67,0.08,40,18.2,9.02
710,3350,1.67,0.08,40,16.94,8.62
711,3350,1.67,0.08,40,16,8.35
712,3350,1.67,0.08,40,15.1,7.99
713,3350,1.67,0.08,40,14.1,7.62
714,3350,1.67,0.08,40,13,7.31
715,3350,1.67,0.08,40,12.1,6.94
716,3350,1.67,0.08,40,11,6.57
717,3350,1.67,0.08,40,10.1,6.16
718,3350,1.67,0.08,40,9,5.73
719,3350,1.67,0.08,40,8,5.25
720,3350,1.67,0.08,40,7,4.8
721,3350,1.67,0.08,40,6,4.3
722,3350,1.67,0.08,40,5,3.76
723,3350,1.67,0.08,40,4,3.2
724,3350,1.67,0.08,40,3,2.6
725,3350,1.67,0.08,40,2,1.96
726,3350,1.67,0.08,40,1.6,1.62
727,3350,1.67,0.08,0,1.03,2.11
728,3350,1.67,0.08,0,0.93,1.95
729,3350,1.67,0.08,0,0.83,1.8
730,3350,1.67,0.08,0,0.72,1.63
731,3350,1.67,0.08,0,0.63,1.47
732,3350,1.67,0.08,0,0.53,1.28
733,3350,1.67,0.08,0,0.43,1.1
734,3350,1.67,0.08,0,0.32,0.9
735,3350,1.67,0.08,0,0.23,0.68
736,3350,1.67,0.08,10,1.03,1.82
737,3350,1.67,0.08,10,0.92,1.68
738,3350,1.67,0.08,10,0.82,1.55
739,3350,1.67,0.08,10,0.7,1.38
740,3350,1.67,0.08,10,0.6,1.23
741,3350,1.67,0.08,10,0.5,1.08
742,3350,1.67,0.08,10,0.43,0.97
743,3350,1.67,0.08,10,0.33,0.8
744,3350,1.67,0.08,10,0.2,0.57
745,3350,1.67,0.08,20,1,1.43
746,3350,1.67,0.08,20,0.92,1.33
747,3350,1.67,0.08,20,0.83,1.22
748,3350,1.67,0.08,20,0.73,1.1
749,3350,1.67,0.08,20,0.6,0.94
750,3350,1.67,0.08,20,0.53,0.84
751,3350,1.67,0.08,20,0.43,0.71
752,3350,1.67,0.08,30,1.02,1.31
753,3350,1.67,0.08,30,0.9,1.18
754,3350,1.67,0.08,30,0.8,1.1
755,3350,1.67,0.08,30,0.7,0.99
756,3350,1.67,0.08,30,0.63,0.91
757,3350,1.67,0.08,30,0.5,0.76
758,3350,1.67,0.08,30,0.4,0.65
759,3350,1.67,0.08,40,1,1.14
760,3350,1.67,0.08,40,0.9,1.1
761,3350,1.67,0.08,40,0.8,0.98
762,3350,1.67,0.08,40,0.7,0.91
763,3350,1.67,0.08,40,0.63,0.82
764,3350,1.67,0.08,40,0.5,0.7
765,3350,1.67,0.08,40,0.43,0.62
766,3350,1.67,0.08,40,0.33,0.53
767,3350,1.67,0.08,40,0.23,0.42
768,3870,1.59,0.48,20,1,1.63
769,3870,1.59,0.48,20,0.95,1.58
770,3870,1.59,0.48,20,0.89,1.52
771,3870,1.59,0.48,20,0.84,1.47
772,3870,1.59,0.48,20,0.8,1.42
773,3870,1.59,0.48,20,0.75,1.37
774,3870,1.59,0.48,20,0.7,1.31
775,3870,1.59,0.48,20,0.66,1.26
776,3870,1.59,0.48,20,0.62,1.2
777,3870,1.59,0.48,20,0.55,1.12
778,3870,1.59,0.48,20,0.5,1.03
779,3870,1.59,0.48,20,0.43,0.94
780,3870,1.59,0.48,20,0.38,0.84
781,3870,1.59,0.48,20,0.35,0.79
782,3870,1.59,0.48,20,0.29,0.7
783,3870,1.59,0.48,20,0.27,0.65
784,3870,1.59,0.48,20,0.24,0.6
785,3870,1.59,0.48,20,0.21,0.53
786,3870,1.59,0.48,20,0.19,0.49
787,3870,1.59,0.48,20,0.17,0.44
788,3870,1.59,0.48,20,0.14,0.37
789,3630,1.47,0.48,20,1,1.49
790,3630,1.47,0.48,20,0.95,1.44
791,3630,1.47,0.48,20,0.9,1.38
792,3630,1.47,0.48,20,0.83,1.31
793,3630,1.47,0.48,20,0.79,1.26
794,3630,1.47,0.48,20,0.75,1.21
795,3630,1.47,0.48,20,0.7,1.16
796,3630,1.47,0.48,20,0.67,1.12
797,3630,1.47,0.48,20,0.63,1.07
798,3630,1.47,0.48,20,0.59,1.02
799,3630,1.47,0.48,20,0.55,0.96
800,3630,1.47,0.48,20,0.49,0.89
801,3630,1.47,0.48,20,0.44,0.81
802,3630,1.47,0.48,20,0.38,0.72
803,3630,1.47,0.48,20,0.31,0.61
804,3630,1.47,0.48,20,0.26,0.52
805,3630,1.47,0.48,20,0.22,0.44
806,3630,1.47,0.48,20,0.19,0.39
807,3630,1.47,0.48,20,0.17,0.36
808,3630,1.47,0.48,20,0.14,0.3
809,3630,1.47,0.48,20,0.12,0.26
810,3180,1.28,0.42,20,1,1.3
811,3180,1.28,0.42,20,0.94,1.23
812,3180,1.28,0.42,20,0.89,1.18
813,3180,1.28,0.42,20,0.84,1.13
814,3180,1.28,0.42,20,0.79,1.08
815,3180,1.28,0.42,20,0.75,1.04
816,3180,1.28,0.42,20,0.71,0.99
817,3180,1.28,0.42,20,0.67,0.95
818,3180,1.28,0.42,20,0.63,0.9
819,3180,1.28,0.42,20,0.59,0.87
820,3180,1.28,0.42,20,0.55,0.81
821,3180,1.28,0.42,20,0.49,0.74
822,3180,1.28,0.42,20,0.43,0.67
823,3180,1.28,0.42,20,0.38,0.59
824,3180,1.28,0.42,20,0.27,0.45
825,1510,0.64,0.19,20,1,1.22
826,1510,0.64,0.19,20,0.95,1.17
827,1510,0.64,0.19,20,0.9,1.14
828,1510,0.64,0.19,20,0.84,1.08
829,1510,0.64,0.19,20,0.75,0.99
830,2900,1.18,0.36,20,1,1.17
831,2900,1.18,0.36,20,0.95,1.13
832,2900,1.18,0.36,20,0.89,1.08
833,2900,1.18,0.36,20,0.85,1.05
834,2900,1.18,0.36,20,0.79,0.99
835,2900,1.18,0.36,20,0.71,0.92
836,2900,1.18,0.36,20,0.67,0.88
837,2900,1.18,0.36,20,0.62,0.82
838,2900,1.18,0.36,20,0.56,0.76
839,2900,1.18,0.36,20,0.49,0.68
840,2900,1.18,0.36,20,0.43,0.62
841,2900,1.18,0.36,20,0.39,0.57
842,2900,1.18,0.36,20,0.35,0.51
843,2900,1.18,0.36,20,0.32,0.47
844,2900,1.18,0.36,20,0.27,0.41
845,2900,1.18,0.36,20,0.24,0.38
846,2900,1.18,0.36,20,0.21,0.32
847,730,0.3,0.14,20,1,0.35
848,730,0.3,0.14,20,0.89,0.34
849,730,0.3,0.14,20,0.79,0.33
850,730,0.3,0.14,20,0.71,0.31
851,730,0.3,0.14,20,0.62,0.3
852,730,0.3,0.14,20,0.56,0.28
853,730,0.3,0.14,20,0.49,0.26
854,730,0.3,0.14,20,0.44,0.25
855,730,0.3,0.14,20,0.39,0.23
856,730,0.3,0.14,20,0.34,0.21
857,730,0.3,0.14,20,0.3,0.19
858,730,0.3,0.14,20,0.24,0.17
859,730,0.3,0.14,20,0.21,0.15
860,730,0.3,0.14,20,0.19,0.14
861,730,0.3,0.14,20,0.12,0.1
862,218,0.08,0.04,20,1.01,0.065
863,218,0.08,0.04,20,0.94,0.0593
864,218,0.08,0.04,20,0.89,0.0534
865,218,0.08,0.04,20,0.794,0.0448
866,218,0.08,0.04,20,0.698,0.0361
867,218,0.08,0.04,20,0.612,0.0302
868,671.17,0.267,0.066,25,1,0.98
869,671.17,0.267,0.066,25,0.58,0.74
870,671.17,0.267,0.066,25,0.52,0.67
871,671.17,0.267,0.066,25,0.46,0.61
872,671.17,0.267,0.066,25,0.4,0.56
873,671.17,0.267,0.066,25,0.33,0.5
874,671.17,0.267,0.066,25,0.25,0.39
875,671.17,0.267,0.066,25,0.18,0.28
876,671.17,0.267,0.066,25,0.12,0.21
877,671.17,0.267,0.066,25,0.06,0.14
878,671.17,0.267,0.066,35,1,0.81
879,671.17,0.267,0.066,35,0.59,0.6
880,671.17,0.267,0.066,35,0.53,0.55
881,671.17,0.267,0.066,35,0.46,0.5
882,671.17,0.267,0.066,35,0.39,0.44
883,671.17,0.267,0.066,35,0.32,0.39
884,671.17,0.267,0.066,35,0.26,0.32
885,671.17,0.267,0.066,35,0.18,0.25
886,671.17,0.267,0.066,35,0.12,0.18
887,671.17,0.267,0.066,35,0.067,0.095
888,671.17,0.267,0.066,50,0.5,0.446
889,671.17,0.267,0.066,50,0.534,0.412
890,671.17,0.267,0.066,50,0.468,0.366
891,671.17,0.267,0.066,50,0.398,0.33
892,671.17,0.267,0.066,50,0.333,0.286
893,671.17,0.267,0.066,50,0.265,0.227
894,671.17,0.267,0.066,50,0.19,0.179
895,671.17,0.267,0.066,50,0.123,0.1245
896,671.17,0.267,0.066,50,0.0722,0.0582
897,801,0.328,0.157,25,0.658,0.483
898,801,0.328,0.157,25,0.855,0.6
899,801,0.328,0.157,25,1.102,0.69
900,801,0.328,0.157,25,1.759,0.925
901,801,0.328,0.157,25,3.351,1.34
902,801,0.328,0.157,25,4.147,1.54
903,801,0.328,0.157,25,5.092,1.675
904,801,0.328,0.157,25,6.219,1.839
905,801,0.328,0.157,25,7.551,2.033
906,801,0.328,0.157,25,9.122,2.168
907,801,0.328,0.157,25,10.963,2.304
908,801,0.328,0.157,25,13.118,2.46
909,801,0.328,0.157,25,15.625,2.567
910,801,0.328,0.157,25,18.539,2.655
911,801,0.328,0.157,25,21.896,2.651
912,801,0.328,0.157,25,25.776,2.62
913,801,0.328,0.157,25,30.237,2.613
914,801,0.328,0.157,45,0.454,0.225
915,801,0.328,0.157,45,0.735,0.315
916,801,0.328,0.157,45,0.937,0.41
917,801,0.328,0.157,45,1.177,0.429
918,801,0.328,0.157,45,2.211,0.72
919,801,0.328,0.157,45,4.062,1.067
920,801,0.328,0.157,45,4.967,1.182
921,801,0.328,0.157,45,6.049,1.358
922,801,0.328,0.157,45,7.33,1.5
923,801,0.328,0.157,45,8.849,1.618
924,801,0.328,0.157,45,10.644,1.768
925,801,0.328,0.157,45,12.752,1.899
926,801,0.328,0.157,45,15.222,1.993
927,801,0.328,0.157,45,18.125,2.096
928,801,0.328,0.157,45,21.529,2.205
929,801,0.328,0.157,45,25.61,2.236
930,801,0.328,0.157,45,30.337,2.241
931,801,0.328,0.157,65,0.899,0.281
932,801,0.328,0.157,65,1.664,0.44
933,801,0.328,0.157,65,2.028,0.452
934,801,0.328,0.157,65,2.485,0.553
935,801,0.328,0.157,65,4.387,0.8325
936,801,0.328,0.157,65,5.012,0.927
937,801,0.328,0.157,65,6.331,1.029
938,801,0.328,0.157,65,7.654,1.186
939,801,0.328,0.157,65,9.23,1.289
940,801,0.328,0.157,65,11.117,1.425
941,801,0.328,0.157,65,13.33,1.53
942,801,0.328,0.157,65,15.85,1.702
943,801,0.328,0.157,65,18.924,1.805
944,801,0.328,0.157,65,22.571,1.941
945,801,0.328,0.157,65,26.815,1.98
946,801,0.328,0.157,65,31.747,1.958
947,801,0.328,0.157,65,38.095,1.932
948,801,0.328,0.157,85,0.577,0.194
949,801,0.328,0.157,85,0.849,0.193
950,801,0.328,0.157,85,1.275,0.257
951,801,0.328,0.157,85,1.88,0.354
952,801,0.328,0.157,85,2.793,0.478
953,801,0.328,0.157,85,2.419,0.424
954,801,0.328,0.157,85,3.4,0.556
955,801,0.328,0.157,85,4.99,0.753
956,801,0.328,0.157,85,7.257,0.986
957,801,0.328,0.157,85,9.029,1.089
958,801,0.328,0.157,85,10.861,1.249
959,801,0.328,0.157,85,13.034,1.359
960,801,0.328,0.157,85,15.62,1.535
961,801,0.328,0.157,85,18.699,1.698
962,801,0.328,0.157,85,22.301,1.777
963,801,0.328,0.157,85,26.573,1.913
964,801,0.328,0.157,85,31.573,1.958
965,645,0.214,0.073,30,0.2685,0.094
966,645,0.214,0.073,30,0.3698,0.288
967,645,0.214,0.073,30,0.6404,0.518
968,645,0.214,0.073,30,0.996,0.742
969,645,0.214,0.073,30,1.1166,0.814
970,645,0.214,0.073,30,1.3577,0.935
971,645,0.214,0.073,30,1.7367,1.081
972,645,0.214,0.073,30,2.2535,1.23
973,645,0.214,0.073,30,2.8401,1.384
974,645,0.214,0.073,30,3.3913,1.567
975,645,0.214,0.073,30,4.1837,1.689
976,645,0.214,0.073,30,5.0115,1.782
977,645,0.214,0.073,30,5.804,1.864
978,645,0.214,0.073,30,6.4584,1.954
979,645,0.214,0.073,30,6.1484,1.96
980,645,0.214,0.073,30,5.7,1.953
981,645,0.214,0.073,45,0.2351,0.106
982,645,0.214,0.073,45,0.4377,0.263
983,645,0.214,0.073,45,0.7427,0.461
984,645,0.214,0.073,45,1.013,0.623
985,645,0.214,0.073,45,1.53,0.77
986,645,0.214,0.073,45,2.0812,0.932
987,645,0.214,0.073,45,2.7368,1.082
988,645,0.214,0.073,45,3.4947,1.204
989,645,0.214,0.073,45,4.2181,1.327
990,645,0.214,0.073,45,5.0115,1.422
991,645,0.214,0.073,45,5.804,1.501
992,645,0.214,0.073,45,6.562,1.576
993,645,0.214,0.073,45,6.252,1.567
994,645,0.214,0.073,60,0.2351,0.09
995,645,0.214,0.073,60,0.3526,0.166
996,645,0.214,0.073,60,0.5056,0.224
997,645,0.214,0.073,60,0.7427,0.324
998,645,0.214,0.073,60,0.8775,0.422
999,645,0.214,0.073,60,1.0477,0.488
1000,645,0.214,0.073,60,1.2544,0.519
1001,645,0.214,0.073,60,1.564,0.588
1002,645,0.214,0.073,60,1.943,0.691
1003,645,0.214,0.073,60,2.4612,0.796
1004,645,0.214,0.073,60,3.0813,0.894
1005,645,0.214,0.073,60,3.7358,0.992
1006,645,0.214,0.073,60,4.4593,1.074
1007,645,0.214,0.073,60,5.1838,1.15
1008,645,0.214,0.073,60,5.9417,1.211
1009,645,0.214,0.073,60,6.596,1.259
1010,740,0.24,0.37,20,1.01,1.4
1011,1260,0.44,0.45,20,1.01,2
1012,898,0.53,0,0,1.068542,2.262
1013,898,0.53,0,0,1.0150383,2.21075
1014,898,0.53,0,0,0.9332901,2.12712
1015,898,0.53,0,0,0.867616,2.05428
1016,898,0.53,0,0,0.801942,1.95987
1017,898,0.53,0,0,0.7344308,1.88703
1018,898,0.53,0,0,0.6669197,1.79261
1019,898,0.53,0,0,0.601016,1.6982
1020,898,0.53,0,0,0.5353419,1.58355
1021,898,0.53,0,0,0.4659938,1.4581
1022,898,0.53,0,0,0.4021568,1.35424
1023,898,0.53,0,0,0.3346456,1.19778
1024,898,0.53,0,0,0.2671345,1.05076
1025,898,0.53,0,0,0.1993938,0.86327
1026,898,0.53,0,0,0.1318827,0.6542
1027,1123,0.64,0,0,1.0667049,2.10554
1028,1123,0.64,0,0,1.0150383,2.0327
1029,1123,0.64,0,0,0.9351272,1.95987
1030,1123,0.64,0,0,0.865779,1.86545
1031,1123,0.64,0,0,0.8001049,1.78182
1032,1123,0.64,0,0,0.7344308,1.68875
1033,1123,0.64,0,0,0.6669197,1.5741
1034,1123,0.64,0,0,0.601016,1.47969
1035,1123,0.64,0,0,0.5335049,1.36504
1036,1123,0.64,0,0,0.4678308,1.25039
1037,1123,0.64,0,0,0.3984827,1.13439
1038,1123,0.64,0,0,0.3328086,0.9995
1039,1123,0.64,0,0,0.2671345,0.84304
1040,1123,0.64,0,0,0.1993938,0.67579
1041,1123,0.64,0,0,0.1318827,0.49774
1042,898,0.53,0,25,1.0690372,1.56544
1043,898,0.53,0,25,1.0162153,1.52183
1044,898,0.53,0,25,0.9362055,1.45466
1045,898,0.53,0,25,0.8688834,1.39186
1046,898,0.53,0,25,0.8018203,1.32469
1047,898,0.53,0,25,0.7332035,1.25752
1048,898,0.53,0,25,0.6689886,1.18512
1049,898,0.53,0,25,0.6016664,1.11272
1050,898,0.53,0,25,0.5358979,1.03073
1051,898,0.53,0,25,0.4688347,0.94001
1052,898,0.53,0,25,0.4030662,0.85278
1053,898,0.53,0,25,0.3344494,0.7516
1054,898,0.53,0,25,0.2699756,0.64081
1055,898,0.53,0,25,0.2029124,0.51084
1056,898,0.53,0,25,0.1355903,0.37651
1057,699,0.31,0,25,1.066189,1.39186
1058,699,0.31,0,25,1.013367,1.36307
1059,699,0.31,0,25,0.934652,1.30114
1060,699,0.31,0,25,0.8688834,1.2427
1061,699,0.31,0,25,0.8031149,1.18512
1062,699,0.31,0,25,0.7360517,1.13191
1063,699,0.31,0,25,0.667435,1.06475
1064,699,0.31,0,25,0.60322,1.00194
1065,699,0.31,0,25,0.5358979,0.94001
1066,699,0.31,0,25,0.4688347,0.85278
1067,699,0.31,0,25,0.4030662,0.77079
1068,699,0.31,0,25,0.3372977,0.68007
1069,1123,0.64,0,25,1.0690372,1.34912
1070,1123,0.64,0,25,1.0162153,1.31073
1071,1123,0.64,0,25,0.9362055,1.2331
1072,1123,0.64,0,25,0.8688834,1.18076
1073,1123,0.64,0,25,0.8018203,1.11272
1074,1123,0.64,0,25,0.7347571,1.04556
1075,1123,0.64,0,25,0.6689886,0.97316
1076,1123,0.64,0,25,0.60322,0.91035
1077,1123,0.64,0,25,0.5358979,0.83882
1078,1123,0.64,0,25,0.4701294,0.76119
1079,1123,0.64,0,25,0.4043609,0.67047
1080,1123,0.64,0,25,0.3372977,0.57888
1081,1123,0.64,0,25,0.2686809,0.48729
1082,1123,0.64,0,25,0.2029124,0.38087
1083,1123,0.64,0,25,0.1371439,0.27009
1084,1006,0.57,0,25,1.0677426,1.27148
1085,1006,0.57,0,25,1.0146617,1.2331
1086,1006,0.57,0,25,0.934652,1.1607
1087,1006,0.57,0,25,0.870437,1.10836
1088,1006,0.57,0,25,0.8018203,1.04032
1089,1006,0.57,0,25,0.7360517,0.97839
1090,1006,0.57,0,25,0.6689886,0.91559
1091,1006,0.57,0,25,0.6016664,0.84319
1092,1006,0.57,0,25,0.5374515,0.77602
1093,1006,0.57,0,25,0.4672812,0.68966
1094,1006,0.57,0,25,0.4015126,0.61726
1095,1006,0.57,0,25,0.3372977,0.53003
1096,898,0.53,0,50,1.0701019,1.07864
1097,898,0.53,0,50,1.0166762,1.04121
1098,898,0.53,0,50,0.9367921,0.9872
1099,898,0.53,0,50,0.8693739,0.93994
1100,898,0.53,0,50,0.8034822,0.88899
1101,898,0.53,0,50,0.7360641,0.84174
1102,898,0.53,0,50,0.6701724,0.78404
1103,898,0.53,0,50,0.6040262,0.73003
1104,898,0.53,0,50,0.5366081,0.66866
1105,898,0.53,0,50,0.4694443,0.60421
1106,898,0.53,0,50,0.4020262,0.5367
1107,898,0.53,0,50,0.3358801,0.46551
1108,898,0.53,0,50,0.2671899,0.38756
1109,898,0.53,0,50,0.2012982,0.30286
1110,699,0.31,0,50,1.0701019,0.94301
1111,699,0.31,0,50,1.0154042,0.916
1112,699,0.31,0,50,0.9352656,0.86506
1113,699,0.31,0,50,0.8709004,0.82148
1114,699,0.31,0,50,0.8034822,0.77729
1115,699,0.31,0,50,0.7360641,0.73003
1116,699,0.31,0,50,0.6701724,0.68584
1117,699,0.31,0,50,0.6027542,0.63183
1118,699,0.31,0,50,0.5366081,0.58089
1119,699,0.31,0,50,0.4679179,0.5232
1120,699,0.31,0,50,0.4032982,0.46919
1121,699,0.31,0,50,0.3358801,0.40474
1122,699,0.31,0,50,0.2684619,0.33662
1123,1123,0.64,0,50,1.0701019,0.9025
1124,1123,0.64,0,50,1.0166762,0.87181
1125,1123,0.64,0,50,0.9367921,0.81473
1126,1123,0.64,0,50,0.8693739,0.77361
1127,1123,0.64,0,50,0.8019558,0.72635
1128,1123,0.64,0,50,0.7373361,0.67909
1129,1123,0.64,0,50,0.6701724,0.63183
1130,1123,0.64,0,50,0.6027542,0.57721
1131,1123,0.64,0,50,0.5366081,0.52627
1132,1123,0.64,0,50,0.4694443,0.47226
1133,1123,0.64,0,50,0.4032982,0.40781
1134,1123,0.64,0,50,0.3358801,0.3538
1135,1123,0.64,0,50,0.2671899,0.29304
1136,1123,0.64,0,50,0.2012982,0.22185
1137,1123,0.64,0,50,0.1351521,0.15065
1138,1006,0.57,0,50,1.0701019,0.8313
1139,1006,0.57,0,50,1.0166762,0.79386
1140,1006,0.57,0,50,0.9367921,0.7466
1141,1006,0.57,0,50,0.8709004,0.70241
1142,1006,0.57,0,50,0.8034822,0.65884
1143,1006,0.57,0,50,0.7360641,0.61465
1144,1006,0.57,0,50,0.6686459,0.56739
1145,1006,0.57,0,50,0.6012278,0.51952
1146,1006,0.57,0,50,0.5366081,0.47226
1147,1006,0.57,0,50,0.4679179,0.42132
1148,1006,0.57,0,50,0.4032982,0.37406
1149,1006,0.57,0,50,0.3358801,0.31636
1150,1037,0.33,0.23,25,0.995,1.638
1151,1037,0.33,0.23,25,0.926,1.573
1152,1037,0.33,0.23,25,0.825,1.475
1153,1037,0.33,0.23,25,0.694,1.33
1154,1037,0.33,0.23,25,0.61,1.23
1155,1037,0.33,0.23,25,0.5,1.09
1156,1037,0.33,0.23,25,0.4,0.936
1157,1037,0.33,0.23,25,0.3,0.763
1158,1037,0.33,0.23,25,0.2,0.57
1159,1037,0.33,0.23,25,0.15,0.45
1160,1037,0.33,0.23,25,0.1,0.32
1161,1154,0.38,0.13,25,0.99,1.81
1162,1154,0.38,0.13,25,0.9,1.71
1163,1154,0.38,0.13,25,0.813,1.615
1164,1154,0.38,0.13,25,0.707,1.492
1165,1154,0.38,0.13,25,0.606,1.352
1166,1154,0.38,0.13,25,0.492,1.187
1167,1154,0.38,0.13,25,0.403,1.04
1168,1154,0.38,0.13,25,0.303,0.855
1169,1154,0.38,0.13,25,0.199,0.627
1170,910,0.374,0.081,12,3.5,1.45
1171,910,0.374,0.081,12,6.7,3.15
1172,910,0.374,0.081,12,10.7,4.63
1173,910,0.374,0.081,12,15.5,5.87
1174,910,0.374,0.081,12,21,6.85
1175,910,0.374,0.081,12,26.7,7.77
1176,910,0.374,0.081,12,33.2,8.36
1177,910,0.374,0.081,27,4.2,1.11
1178,910,0.374,0.081,27,7.5,2.62
1179,910,0.374,0.081,27,11.5,3.97
1180,910,0.374,0.081,27,15.7,5.29
1181,910,0.374,0.081,27,20.7,6.35
1182,910,0.374,0.081,27,26.5,7.11
1183,910,0.374,0.081,27,32.5,7.79
1184,910,0.374,0.081,47,4.5,0.87
1185,910,0.374,0.081,47,8,2.21
1186,910,0.374,0.081,47,12,3.42
1187,910,0.374,0.081,47,16.2,4.59
1188,910,0.374,0.081,47,21.2,5.49
1189,910,0.374,0.081,47,26.7,6.21
1190,910,0.374,0.081,47,33,6.62
1191,1071,0.393,0.123,12,4.6,1.74
1192,1071,0.393,0.123,12,9.1,3.79
1193,1071,0.393,0.123,12,14,5.66
1194,1071,0.393,0.123,12,19.6,7.02
1195,1071,0.393,0.123,12,25.5,8.22
1196,1071,0.393,0.123,12,31.7,9.22
1197,1071,0.393,0.123,27,4.9,1.36
1198,1071,0.393,0.123,27,9.4,3.25
1199,1071,0.393,0.123,27,14.4,4.84
1200,1071,0.393,0.123,27,19.8,6.19
1201,1071,0.393,0.123,27,25.7,7.12
1202,1071,0.393,0.123,27,31.9,7.93
1203,1071,0.393,0.123,47,5,1.18
1204,1071,0.393,0.123,47,9.9,2.56
1205,1071,0.393,0.123,47,15,3.87
1206,1071,0.393,0.123,47,20.6,4.83
1207,1071,0.393,0.123,47,26.6,5.5
1208,1071,0.393,0.123,47,32.8,6.04
1209,803,0.2068,0.2632,30,1.1,1.1
1210,803,0.2068,0.2632,30,0.982,1.06
1211,803,0.2068,0.2632,30,0.8555,0.976
1212,803,0.2068,0.2632,30,0.716,0.878
1213,803,0.2068,0.2632,30,0.592,0.776
1214,803,0.2068,0.2632,30,0.476,0.661
