No,SSA,VMI,VME,T,P,G
143,3140,0.179,1.831,35,21.78,10.06
144,3140,0.179,1.831,45,0.61,0.5
145,3140,0.179,1.831,45,1.48,1.19
146,3140,0.179,1.831,45,2.48,1.81
147,3140,0.179,1.831,45,3.48,2.44
148,3140,0.179,1.831,45,4.45,3
149,3140,0.179,1.831,45,5.4,3.5
150,3140,0.179,1.831,45,6.65,4.06
151,3140,0.179,1.831,45,8.15,4.75
152,3140,0.179,1.831,45,9.66,5.375
153,3140,0.179,1.831,45,11.7,6.19
154,3140,0.179,1.831,45,13.68,6.875
155,3140,0.179,1.831,45,15.85,7.56
156,3140,0.179,1.831,45,17.77,8.125
157,3140,0.179,1.831,45,19.75,8.69
158,3140,0.179,1.831,55,0.65,0.5
159,3140,0.179,1.831,55,1.6,1.06
160,3140,0.179,1.831,55,2.55,1.625
161,3140,0.179,1.831,55,3.54,2.19
162,3140,0.179,1.831,55,4.58,2.69
163,3140,0.179,1.831,55,5.55,3.125
164,3140,0.179,1.831,55,6.8,3.69
165,3140,0.179,1.831,55,8.23,4.31
166,3140,0.179,1.831,55,9.74,4.875
167,3140,0.179,1.831,55,12.04,5.69
168,3140,0.179,1.831,55,13.89,6.25
169,3140,0.179,1.831,55,15.93,6.875
170,3140,0.179,1.831,55,17.99,7.5
171,3140,0.179,1.831,55,19.84,7.94
172,3140,0.179,1.831,55,22.03,8.5
173,3140,0.179,1.831,65,0.67,0.44
174,3140,0.179,1.831,65,1.57,0.94
175,3140,0.179,1.831,65,2.54,1.44
176,3140,0.179,1.831,65,3.5,1.875
177,3140,0.179,1.831,65,4.56,2.375
178,3140,0.179,1.831,65,5.55,2.81
179,3140,0.179,1.831,65,6.81,3.31
180,3140,0.179,1.831,65,8.26,3.81
181,3140,0.179,1.831,65,9.78,4.375
182,3140,0.179,1.831,65,11.88,5.06
183,3140,0.179,1.831,65,13.93,5.69
184,3140,0.179,1.831,65,15.89,6.25
185,3140,0.179,1.831,65,17.95,6.75
186,3140,0.179,1.831,65,19.9,7.25
187,3140,0.179,1.831,65,21.87,7.75
188,3140,0.179,1.831,75,0.71,0.375
189,3140,0.179,1.831,75,1.62,0.81
190,3140,0.179,1.831,75,2.63,1.25
191,3140,0.179,1.831,75,3.62,1.69
192,3140,0.179,1.831,75,4.64,2.125
193,3140,0.179,1.831,75,5.61,2.5
194,3140,0.179,1.831,75,6.86,2.94
195,3140,0.179,1.831,75,8.35,3.44
196,3140,0.179,1.831,75,9.87,3.94
197,3140,0.179,1.831,75,11.98,4.56
198,3140,0.179,1.831,75,14.01,5.19
199,3140,0.179,1.831,75,16.03,5.69
200,3140,0.179,1.831,75,18.06,6.19
201,3140,0.179,1.831,75,20.15,6.69
202,3140,0.179,1.831,75,21.98,7.125
203,1493,0.488,0.17,20,0.113,0.16
204,1493,0.488,0.17,20,0.324,0.5
205,1493,0.488,0.17,20,0.681,0.976
206,1493,0.488,0.17,20,1.248,1.596
207,1493,0.488,0.17,20,2.34,2.407
208,1493,0.488,0.17,20,3.855,3.174
209,1493,0.488,0.17,20,6.174,3.985
210,1493,0.488,0.17,20,9.938,4.87
211,1493,0.488,0.17,20,14.211,5.515
212,1493,0.488,0.17,20,19.189,6.044
213,1493,0.488,0.17,20,24.4699875,6.375
214,1493,0.488,0.17,20,30.087,6.592
215,1493,0.488,0.17,30,0.146,0.16
216,1493,0.488,0.17,30,0.3505845,0.5
217,1493,0.488,0.17,30,0.686,0.976
218,1493,0.488,0.17,30,1.352,1.596
219,1493,0.488,0.17,30,2.56,2.361
220,1493,0.488,0.17,30,4.315,3.171
